serial number,cluster_number
1,2
2,2
3,2
4,3
5,2
6,1
7,3
8,3
9,1
10,1
11,3
12,3
13,2
14,2
15,1
16,1
17,3
18,2
19,1
20,3
21,3
22,3
23,2
24,3
25,2
26,3
27,2
28,2
29,1
30,1
31,2
32,3
33,1
34,2
35,2
36,3
37,3
38,2
39,2
40,3
41,2
42,2
43,3
44,2
45,2
46,2
47,1
48,3
49,2
50,3
51,2
52,2
53,2
54,3
55,1
56,3
57,3
58,2
59,3
60,2
61,2
62,3
63,3
64,1
65,2
66,3
67,2
68,2
69,1
70,3
71,2
72,3
73,2
74,3
75,2
76,3
77,1
78,2
79,2
80,1
81,1
82,2
83,2
84,3
85,2
86,3
87,2
88,1
89,2
90,2
91,1
92,2
93,3
94,2
95,2
96,1
97,2
98,3
99,2
100,2
101,2
102,2
103,1
104,3
105,2
106,3
107,2
108,2
109,1
110,2
111,2
112,2
113,2
114,2
115,1
116,1
117,2
118,2
119,2
120,1
121,3
122,1
123,3
124,2
125,1
126,3
127,2
128,1
129,2
130,3
131,2
132,3
133,2
134,3
135,3
136,2
137,3
138,3
139,1
140,1
141,1
142,3
143,2
144,3
145,2
146,1
147,2
148,2
149,3
150,2
151,3
152,1
153,2
154,2
155,3
156,2
157,2
158,3
159,2
160,1
161,3
162,1
163,2
164,2
165,3
166,2
167,2
168,2
169,1
170,1
171,3
172,1
173,2
174,1
175,2
176,2
177,2
178,2
179,2
180,3
181,1
182,1
183,2
184,1
185,2
186,3
187,1
188,2
189,1
190,2
191,2
192,3
193,2
194,1
195,3
196,3
197,1
198,3
199,1
200,1
