serial number,account_info,duration_month,credit_history,purpose,savings_account,employment_st,poi,personal_status,gurantors,resident_since,property_type,age,installment_type,housing_type,credits_no,job_type,liables,telephone,foreigner,cluster_number
1,A14,24,A34,A46,A61,A75,4,A93,A101,4,A124,54,A143,A153,2,A173,2,A191,A201,2
2,A12,18,A34,A43,A61,A75,3,A92,A103,4,A121,48,A141,A151,2,A172,1,A192,A201,2
3,A11,20,A34,A42,A61,A75,1,A92,A101,4,A122,24,A143,A152,2,A173,1,A191,A201,1
4,A14,12,A34,A43,A65,A75,4,A93,A101,4,A123,35,A143,A152,2,A173,1,A191,A201,2
5,A12,12,A32,A40,A65,A71,1,A92,A101,2,A121,24,A143,A151,1,A171,1,A191,A201,1
6,A11,36,A32,A40,A61,A74,2,A93,A101,1,A123,24,A143,A152,1,A173,1,A192,A201,2
7,A12,6,A32,A43,A61,A72,3,A94,A101,3,A121,26,A143,A152,1,A172,1,A191,A202,3
8,A14,12,A34,A43,A65,A75,4,A93,A101,4,A121,65,A143,A152,4,A173,1,A191,A201,3
9,A12,42,A31,A41,A61,A71,1,A93,A101,2,A124,55,A141,A153,1,A174,1,A192,A201,1
10,A12,15,A30,A40,A61,A72,2,A92,A101,1,A121,26,A143,A151,2,A171,1,A191,A201,1
11,A12,8,A32,A49,A61,A72,3,A94,A101,2,A121,26,A143,A152,1,A173,1,A192,A201,2
12,A12,6,A32,A43,A61,A74,3,A94,A103,3,A121,28,A141,A152,1,A172,1,A191,A201,3
13,A11,36,A34,A41,A61,A74,4,A93,A101,4,A123,24,A143,A152,2,A173,1,A192,A201,1
14,A11,48,A32,A44,A61,A73,3,A93,A101,4,A123,54,A143,A152,1,A173,1,A191,A201,1
15,A11,48,A32,A40,A61,A74,4,A93,A101,4,A124,46,A143,A153,1,A173,2,A191,A201,1
16,A12,36,A33,A40,A61,A73,2,A92,A101,2,A122,54,A143,A151,1,A173,1,A191,A201,1
17,A14,6,A32,A44,A63,A73,1,A91,A101,4,A121,62,A143,A152,1,A173,1,A191,A201,3
18,A14,6,A34,A43,A61,A74,1,A92,A101,2,A123,24,A143,A151,2,A173,1,A192,A201,1
19,A11,36,A32,A410,A61,A71,2,A91,A102,3,A123,43,A143,A152,1,A174,1,A191,A201,1
20,A11,18,A32,A43,A61,A73,4,A94,A101,3,A121,26,A141,A152,1,A173,1,A191,A201,2
21,A14,12,A32,A40,A61,A73,3,A94,A101,2,A121,27,A143,A152,2,A173,1,A192,A201,2
22,A13,12,A32,A43,A61,A73,3,A94,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,2
23,A11,36,A32,A42,A61,A75,2,A93,A101,2,A122,41,A141,A152,1,A173,2,A191,A201,1
24,A11,8,A34,A40,A61,A75,4,A93,A101,4,A121,47,A143,A152,2,A172,1,A191,A201,2
25,A14,18,A34,A42,A61,A72,3,A91,A101,2,A123,35,A143,A152,2,A174,1,A192,A201,2
26,A11,21,A34,A40,A61,A75,4,A94,A101,3,A123,30,A143,A152,2,A173,1,A192,A201,2
27,A11,18,A34,A40,A61,A75,1,A92,A101,4,A121,33,A141,A151,3,A173,1,A192,A201,2
28,A14,18,A30,A49,A61,A73,2,A93,A101,2,A123,36,A142,A152,2,A173,2,A191,A201,2
29,A11,36,A32,A41,A65,A75,3,A93,A101,4,A124,47,A143,A153,1,A173,1,A191,A201,1
30,A12,48,A33,A49,A65,A73,4,A93,A101,4,A124,38,A143,A153,1,A173,2,A192,A201,2
31,A14,24,A33,A49,A63,A73,4,A93,A101,2,A123,44,A143,A152,2,A173,2,A192,A201,2
32,A11,18,A32,A40,A61,A72,4,A92,A101,3,A123,23,A143,A151,1,A173,1,A192,A201,1
33,A11,45,A30,A49,A61,A75,2,A93,A101,4,A123,29,A143,A151,2,A173,1,A191,A201,1
34,A12,24,A32,A43,A65,A75,2,A92,A101,4,A123,42,A143,A152,1,A173,1,A192,A201,3
35,A13,15,A32,A43,A61,A72,2,A92,A101,3,A121,25,A143,A152,1,A172,1,A191,A201,2
36,A11,12,A30,A40,A61,A73,4,A93,A101,4,A123,48,A141,A152,2,A173,1,A191,A201,1
37,A14,12,A32,A43,A65,A73,4,A92,A101,2,A123,21,A143,A152,1,A173,1,A191,A201,2
38,A14,4,A32,A42,A61,A72,1,A92,A101,3,A121,23,A143,A151,1,A172,2,A191,A201,2
39,A11,24,A34,A41,A61,A75,4,A93,A101,4,A122,63,A143,A152,2,A173,1,A192,A201,3
40,A14,24,A34,A43,A61,A75,4,A94,A102,3,A121,46,A143,A152,2,A173,1,A191,A201,2
41,A11,36,A32,A42,A61,A74,4,A93,A101,2,A122,29,A143,A152,1,A173,1,A191,A201,1
42,A14,21,A33,A41,A61,A73,3,A93,A101,2,A121,28,A142,A152,2,A172,1,A191,A201,3
43,A14,18,A32,A45,A61,A72,4,A92,A101,4,A121,23,A143,A152,1,A173,1,A191,A201,2
44,A14,24,A31,A49,A61,A74,4,A93,A101,4,A123,50,A141,A152,1,A173,1,A192,A201,2
45,A14,18,A32,A42,A61,A75,4,A93,A101,4,A122,47,A141,A152,3,A173,2,A192,A201,2
46,A12,21,A32,A42,A65,A74,2,A93,A101,3,A123,35,A143,A152,1,A173,1,A192,A201,2
47,A14,18,A32,A40,A65,A73,2,A93,A101,4,A123,68,A143,A151,2,A173,1,A191,A201,1
48,A14,24,A32,A40,A61,A72,4,A94,A101,2,A121,28,A143,A152,1,A173,1,A191,A201,2
49,A11,9,A32,A43,A61,A74,3,A93,A101,4,A121,59,A143,A152,1,A173,1,A191,A201,3
